"","tab.row_id","tab.truth","tab.response"
"1",1,0.414893617021277,0.346667595300363
"2",2,0.884615384615385,0.628753644722675
"3",3,0.884615384615385,0.637956305964848
"4",4,0,0.434367378714346
"5",5,0.666666666666667,0.714506677399475
"6",6,0.444444444444444,0.385033851078811
"7",7,0.27027027027027,0.489981447123167
"8",8,0.778280542986425,0.587413752792965
"9",9,0.252380952380952,0.430329806556147
"10",10,0.941176470588235,0.474892358176029
"11",11,0,0.523118763402048
"12",12,0,0.304695366930557
"13",13,0,0.521712338484539
"14",14,0,0.107602649138699
"15",15,0,0.12307947344218
"16",16,0,0.0140370681717539
"17",17,0,0.00628023142124788
"18",18,0,0.0694902450266343
"19",19,0,0.266029902364491
"20",20,0,0.329334673252979
"21",21,0,0.348567588452742
"22",22,0,0.313122627826198
"23",23,0,0.118110737698292
"24",24,0,0.5704676549509
"25",25,0,0.0814286987488759
"26",26,0,0.008304435228748
"27",27,0,0.109274088607235
"28",28,0,0.0583029687073311
"29",29,0,0.498507643737996
"30",30,0,0.0308705826893997
"31",31,0,0.136700229515619
"32",32,0,0.0473129979292549
"33",33,0,0.549705432666789
"34",34,0,0.0747781494563104
"35",35,0,0.118461548155562
"36",36,0,0.0475962484750565
"37",37,0,0.312012544360595
"38",38,0,0.123013228144029
"39",39,0,0.100535073726564
"40",40,0,0.0178195633749583
"41",41,0,0.0151951797856378
"42",42,0,0.0130910435422381
"43",43,0,0.0170169292920032
"44",44,0,0.214827403740386
"45",45,0,0.370259900623226
"46",46,0,0.103830437904106
"47",47,0,0.0739715355877636
"48",48,0,0.0297820044923743
"49",49,0,0.321856410025957
"50",50,0,0.345421112308395
"51",51,0,0.386128696862135
"52",52,0,0.0308898086647149
"53",53,0,0.0968262923385669
"54",54,0,0.621591326355202
"55",55,0,0.463552002054614
"56",56,0.730569948186529,0.705992981104412
"57",57,0.730569948186529,0.705992981104412
"58",58,0.894736842105263,0.825415046286913
"59",59,0.472222222222222,0.347290024802559
